marca,modelo,numeracao,preco_atacado,preco_varejo,link_imagem1,link_imagem2,min,max
ADIDAS,ADIZERO BOSTON,34-39,"R$ 60,00","R$ 132,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-1-1.png?resize=684%2C684&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-2-1.png?resize=685%2C685&strip=info&ssl=1,34,39
ADIDAS,ADIZERO BOSTON,34-39,"R$ 60,00","R$ 132,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-55-1-1-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-55-2-1-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIZERO BOSTON,34-39,"R$ 60,00","R$ 132,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-109-1.png?resize=682%2C682&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-109-2.png?resize=678%2C678&strip=info&ssl=1,34,39
ADIDAS,ADIZERO BOSTON,34-39,"R$ 60,00","R$ 132,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-538-2-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACADO-ADIDAS-ADIZERO-BOSTON-R-900-12-538-Photoroom-1024x1024.png?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIDAS KNIT,34-39,"R$ 105,00","R$ 210,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACDO-ADIDAS-KNIT-R-900-507-11-2-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACDO-ADIDAS-KNIT-R-900-507-11-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIDAS KNIT,34-39,"R$ 105,00","R$ 210,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACDO-ADIDAS-KNIT-R-900-507-13-2-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACDO-ADIDAS-KNIT-R-900-507-13-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIDAS KNIT,34-39,"R$ 105,00","R$ 210,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACDO-ADIDAS-KNIT-R-900-507-14-2-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACDO-ADIDAS-KNIT-R-900-507-14-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,ADIDAS KNIT,34-39,"R$ 105,00","R$ 210,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACDO-ADIDAS-KNIT-R-900-507-492-4-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/09/TENIS-ATACDO-ADIDAS-KNIT-R-900-507-492-4-2-Photoroom-1024x1024.jpg?resize=1200%2C1200&strip=info&ssl=1,34,39
ADIDAS,CAMPO PREDATOR,38-43,"R$ 58,00","R$ 116,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/08/CHUTEIRA-ATACADO-R-100-CPDT-06-1-Photoroom-1024x1024.webp?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/08/CHUTEIRA-ATACADO-R-100-CPDT-06-2-Photoroom-1024x1024.webp?resize=1200%2C1200&strip=info&ssl=1,38,43
ADIDAS,CAMPO PREDATOR,38-43,"R$ 58,00","R$ 116,00",https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/08/CHUTEIRA-ATACADO-R-100-CPDT-908-1-Photoroom-1024x1024.webp?resize=1200%2C1200&strip=info&ssl=1,https://i0.wp.com/rickatacado.com/wp-content/uploads/2025/08/CHUTEIRA-ATACADO-R-100-CPDT-908-2-Photoroom-1024x1024.webp?resize=1200%2C1200&strip=info&ssl=1,38,43
